customer_state,order_year,order_month,order_day,payment_value
AM,2017,11,20,517.2
AM,2017,11,21,34.8
AM,2017,11,24,220.54
AM,2017,11,27,202.06
AM,2017,11,29,214.87
AM,2017,12,2,72.2
AM,2017,12,9,51.14
AM,2017,12,12,49.14
AM,2017,12,13,725.69
AM,2017,12,23,203.57
AM,2017,12,28,71.88
AM,2018,1,6,83.05
AM,2018,1,11,179.45
AM,2018,1,12,76.17
AM,2018,1,13,420.13
AM,2018,1,15,41.14
AM,2018,1,19,371.19
AM,2018,1,21,166.56
AM,2018,1,24,54.28
AM,2018,1,26,1853.75
AM,2018,1,28,136.61
AM,2018,1,30,51.13
AM,2018,2,15,83.16
AM,2018,2,16,592.49
AM,2018,2,17,628.18
AM,2018,2,19,637.11
AM,2018,2,20,51.14
AM,2018,2,24,160.67
AM,2018,2,25,240.87
AM,2018,2,26,92.98
AM,2018,3,2,35.55
AM,2018,3,3,545.08
AM,2018,3,12,78.91
AM,2018,3,13,136.08
AM,2018,3,15,126.94
AM,2018,3,18,208.11
AM,2018,3,28,173.26
AM,2018,3,29,130.24
AM,2018,4,3,89.35
AM,2018,4,6,40.85
AM,2018,4,9,238.95
AM,2018,4,14,77.31
AM,2018,4,16,264.18
AM,2018,4,26,182.85
AM,2018,5,1,183.70999999999998
AM,2018,5,4,1259.04
AM,2018,5,6,47.75
AM,2018,5,8,56.31
AM,2018,5,11,114.67
AM,2018,5,14,298.67
AM,2018,5,16,90.68
AM,2018,5,29,141.65
AM,2018,6,3,97.54
AM,2018,6,5,594.61
AM,2018,6,7,86.96
AM,2018,6,9,72.85
AM,2018,6,13,210.98
AM,2018,6,20,148.2
AM,2018,7,1,228.13
AM,2018,7,4,100.88
AM,2018,7,11,122.55
AM,2018,7,13,174.26
AM,2018,7,14,281.25
AM,2018,7,16,648.19
AM,2018,7,20,133.95
AM,2018,7,23,195.53
AM,2018,7,25,47.89
AM,2018,7,26,173.02
AM,2018,7,27,55.03
AM,2018,7,28,437.73
AM,2018,8,1,194.97
AM,2018,8,3,159.89
AM,2018,8,5,84.67
AM,2018,8,14,72.97
AP,2017,2,2,383.05
AP,2017,2,28,324.15
AP,2017,3,16,255.04
AP,2017,3,20,100.02
AP,2017,3,22,57.83
AP,2017,5,3,141.3
AP,2017,5,8,657.61
AP,2017,5,14,425.24
AP,2017,5,23,163.7
AP,2017,6,8,95.68
AP,2017,6,16,274.06
AP,2017,7,4,292.39
AP,2017,8,8,320.64
AP,2017,8,17,64.14
AP,2017,9,2,372.99
AP,2017,9,14,126.23
AP,2017,10,1,66.1
AP,2017,10,23,148.22
AP,2017,10,24,1482.42
AP,2017,11,4,104.94
AP,2017,11,23,235.13
AP,2017,11,24,71.14
AP,2017,11,29,277.96
AP,2017,12,6,266.69
